0,10,20,30,40,50,60,AVERAGE,ALTITUDE
2.697929441,2.618271528,2.390492579,2.041754934,1.598628741,1.056912953,0.462776839,1.838109574,200
2.174379849,2.114196639,1.940509329,1.670041097,1.318609306,0.877432413,0.425587429,1.502965152,250
1.825134204,1.776862832,1.636662044,1.415743986,1.124106248,0.750558978,0.396956054,1.275146335,300
1.715138646,1.671251465,1.543205688,1.339738207,1.068105648,0.715406085,0.390574082,1.206202832,350
1.761107797,1.717164153,1.588525615,1.382854145,1.106060083,0.743606022,0.401053345,1.242910166,400
1.845454778,1.800324477,1.667866659,1.455064952,1.166873735,0.787148001,0.415447774,1.30545434,450
1.990398175,1.942520711,1.801705617,1.574603686,1.265520283,0.856475333,0.436219446,1.40963475,500
2.219932694,2.167268193,2.012108143,1.761082734,1.418077548,0.962742262,0.465493395,1.572386424,550
2.64234372,2.580394103,2.397619258,2.101150546,1.694753647,1.154239389,0.513020018,1.869074383,600
3.670568524,3.585388429,3.333776344,2.924771761,2.36266845,1.614368541,0.610905294,2.586063906,650
615.0909037,600.94468,559.1162563,490.9993757,397.1890376,272.2744,8.01305085,420.5182434,700
